State,Population_06.2015,House_seat_number
Alabama,4858979,7
Arizona,6828065,9
Arkansas,2978204,4
California,39144818,53
Colorado,5456574,7
Connecticut,3590886,5
Delaware,945934,1
Florida,20271272,27
Georgia,10214860,14
Idaho,1654930,2
Illinois,12859995,18
Indiana,6619680,9
Iowa,3123899,4
Kansas,2911641,4
Kentucky,4425092,6
Louisiana,4670724,6
Maine,1329328,2
Maryland,6006401,8
Massachusetts,6794422,9
Michigan,9922576,14
Minnesota,5489594,8
Mississippi,2992333,4
Missouri,6083672,8
Montana,1032949,1
Nebraska,1896190,3
Nevada,2890845,4
New Hampshire,1330608,2
New Jersey,8958013,12
New Mexico,2085109,3
New York,19795791,27
North Carolina,10042802,13
North Dakota,756927,1
Ohio,11613423,16
Oklahoma,3911338,5
Oregon,4028977,5
Pennsylvania,12802503,18
Rhode Island,1056298,2
South Carolina,4896146,7
South Dakota,858469,1
Tennessee,6600299,9
Texas,27469114,36
Utah,2995919,4
Vermont,626042,1
Virginia,8382993,11
Washington,7170351,10
West Virginia,1844128,3
Wisconsin,5771337,8
Wyoming,586107,1
